date,cc_close_m,c_usd_close_m,ret_cc_m,ret_c_usd_m,ret_spread_m,precip_mm,gwetroot,t2m_max,month
2015-02-28,3100.0,3137.5751745700836,0.15585384041759887,0.09225491989052381,0.06549719642755161,103.60000000000001,0.45,33.12,2015-02
2015-03-31,2704.0,2815.2118422985077,-0.12774193548387092,-0.10274282346581443,-0.027113191418521143,203.35999999999999,0.52,34.84,2015-03
2015-04-30,2950.0,3073.0307207107544,0.09097633136094685,0.09158063153135498,0.0012801012901610398,188.7,0.6,30.73,2015-04
2015-05-31,3088.0,3227.733746767044,0.04677966101694908,0.050342167103526014,-0.002526644555248418,164.29999999999998,0.64,30.35,2015-05
2015-06-30,3276.0,3365.0594737529755,0.060880829015544036,0.04254555603400667,0.01921070817553644,363.0,0.8,28.84,2015-06
2015-07-31,3203.0,3325.2711015939713,-0.022283272283272315,-0.01182397293995796,-0.010702594366565626,75.02,0.75,28.48,2015-07
2015-08-31,3117.0,3216.2072796821594,-0.026849828285981925,-0.03279847524598278,0.00527377178580192,22.63,0.6,29.26,2015-08
2015-09-30,3117.0,3243.800263404846,0.0,0.008579354911917747,-0.008402822509198686,44.7,0.49,30.53,2015-09
2015-10-31,3256.0,3383.4931640625,0.04459416105229397,0.043064581452072925,0.0024156944787726495,213.9,0.51,30.77,2015-10
2015-11-30,3330.0,3400.3066952228546,0.022727272727272707,0.00496928184721579,0.017860240906228307,177.6,0.6,30.92,2015-11
2015-12-31,3211.0,3352.104397058487,-0.03573573573573574,-0.014175867792187047,-0.021851556541080223,31.62,0.55,31.46,2015-12
2016-01-31,2765.0,2885.333509325981,-0.13889753970725627,-0.1392471213432681,-0.0025156254984188553,16.12,0.45,34.43,2016-01
2016-02-29,2878.0,3070.41863322258,0.040867992766727035,0.06414687359307547,-0.02195896786802437,43.5,0.4,35.53,2016-02
2016-03-31,2953.0,3099.036934375763,0.026059763724809004,0.009320651211377706,0.01693089813952367,114.7,0.44,35.32,2016-03
2016-04-30,3189.0,3379.602566599846,0.07991872671859124,0.09053316826009272,-0.00875159312424785,102.9,0.48,33.66,2016-04
2016-05-31,3054.0,3275.329592227936,-0.04233301975540926,-0.03085362030506955,-0.012114256474085105,215.14000000000001,0.52,32.74,2016-05
2016-06-30,3028.0,3211.602181792259,-0.008513425016371978,-0.019456793168814546,0.01054301702085255,219.0,0.64,30.15,2016-06
2016-07-31,2823.0,3023.283511161804,-0.06770145310435927,-0.058636985520218565,-0.010271006775998556,41.85,0.57,28.9,2016-07
2016-08-31,2918.0,3088.1006084680557,0.0336521431101664,0.021439305002971087,0.012653982233258195,53.01,0.47,30.21,2016-08
2016-09-30,2781.0,2881.7735999822617,-0.046949965729952026,-0.066813564273137,0.018488814639679954,114.6,0.46,31.27,2016-09
2016-10-31,2739.0,2763.254472255707,-0.015102481121898603,-0.0411271474370104,0.025178416890932934,166.47,0.52,31.12,2016-10
2016-11-30,2407.0,2453.4667019844055,-0.12121212121212122,-0.11210975079628283,-0.01140918763921854,111.3,0.54,31.82,2016-11
2016-12-31,2137.0,2128.2870693206787,-0.11217282924802663,-0.1325388408168393,0.017638836826281173,75.33,0.53,32.02,2016-12
2017-01-31,2091.0,2107.5,-0.02152550304164713,-0.009767042059468878,-0.011959431733466449,76.57000000000001,0.49,33.5,2017-01
2017-02-28,2016.0,1901.9778740406036,-0.03586800573888094,-0.09751939547302324,0.05964478977746619,58.24,0.47,33.53,2017-02
2017-03-31,2094.0,2095.1358481645584,0.038690476190476275,0.10155637284760077,-0.060776230161883035,88.35000000000001,0.48,32.73,2017-03
2017-04-30,1866.0,1808.9688000679016,-0.10888252148997135,-0.13658639288108843,0.024893412520773123,149.4,0.52,32.69,2017-04
2017-05-31,2042.0,2027.6673443317413,0.09431939978563775,0.12089680278379067,-0.024089779709969783,170.5,0.56,31.69,2017-05
2017-06-30,1836.0,1994.6133706569672,-0.1008814887365328,-0.01630147754126199,-0.0849154372299523,286.2,0.67,29.9,2017-06
2017-07-31,2070.0,2090.0426387786865,0.12745098039215685,0.04784349163882706,0.08059193649097252,69.75,0.68,28.7,2017-07
2017-08-31,1949.0,1941.960831284523,-0.05845410628019321,-0.07085109401437617,0.01093912592638463,83.39,0.55,29.72,2017-08
2017-09-30,2057.0,2036.0198893547058,0.05541303232426875,0.0484350953710877,0.0079745577771905,80.1,0.5,30.68,2017-09
2017-10-31,2094.0,2051.898598909378,0.01798736023334957,0.007798897072515798,0.010348936535919045,205.84,0.56,30.94,2017-10
2017-11-30,2050.0,1937.4488224983215,-0.021012416427889202,-0.055777501125976015,0.033617383455682714,153.0,0.6,30.47,2017-11
2017-12-31,1888.0,1852.1504139900208,-0.0790243902439024,-0.04402614795177362,-0.03590414276602049,60.76,0.56,32.07,2017-12
2018-01-31,1988.0,1980.4083088636398,0.052966101694915224,0.06924809880711447,-0.014857119205683736,11.47,0.47,34.16,2018-01
2018-02-28,2210.0,2188.8167304992676,0.11167002012072436,0.10523507738422522,0.008600303798221548,121.24000000000001,0.45,34.85,2018-02
2018-03-31,2560.0,2468.2839621305466,0.158371040723982,0.12767959406429275,0.033318635504278715,107.26,0.51,32.19,2018-03
2018-04-30,2811.0,2555.9106369018555,0.09804687500000009,0.035501050979431126,0.06327630852584862,106.2,0.51,32.13,2018-04
2018-05-31,2458.0,2355.175871014595,-0.12557808609035925,-0.07853747427201951,-0.048656631808078915,182.28,0.53,32.05,2018-05
2018-06-30,2385.0,2481.661933898926,-0.029698942229454794,0.05370557011941579,-0.08229944402731093,186.3,0.58,29.81,2018-06
2018-07-31,2157.0,2102.981709718704,-0.09559748427672954,-0.15259138201200484,0.05385411350005476,108.80999999999999,0.6,28.6,2018-07
2018-08-31,2295.0,2127.2996950149536,0.06397774687065372,0.011563574321101555,0.052652109501675315,95.78999999999999,0.51,30.52,2018-08
