date,precip_mm,gwetroot,t2m_max,month
2023-10-31,231.26,0.65,30.42,2023-10
2023-11-30,174.0,0.68,30.94,2023-11
2023-12-31,31.62,0.62,32.33,2023-12
2024-01-31,58.59,0.53,34.15,2024-01
2024-02-29,23.200000000000003,0.45,35.27,2024-02
2024-03-31,138.26,0.48,34.8,2024-03
2024-04-30,105.6,0.49,34.62,2024-04
2024-05-31,202.12,0.54,32.86,2024-05
2024-06-30,179.70000000000002,0.59,30.2,2024-06
2024-07-31,35.34,0.54,30.08,2024-07
2024-08-31,39.68,0.45,31.04,2024-08
2024-09-30,69.3,0.42,33.31,2024-09
2024-10-31,463.14,0.6,31.13,2024-10
2024-11-30,72.30000000000001,0.69,30.74,2024-11
2024-12-31,63.55,0.58,32.37,2024-12
2025-01-31,35.029999999999994,0.5,32.94,2025-01
2025-02-28,47.88,0.47,34.42,2025-02
2025-03-31,97.65,0.47,33.87,2025-03
2025-04-30,126.9,0.49,33.44,2025-04
2025-05-31,164.92000000000002,0.53,32.53,2025-05
2025-06-30,274.8,0.62,30.87,2025-06
2025-07-31,18.6,0.58,30.45,2025-07
